,city,date,weather
15,"Atlanta, United States of America",2018-10-16,Clear
16,"Atlanta, United States of America",2018-10-17,Clear
17,"Atlanta, United States of America",2018-10-18,Clear
18,"Atlanta, United States of America",2018-10-19,Clear
19,"Atlanta, United States of America",2018-10-20,Partly cloudy
20,"Atlanta, United States of America",2018-10-21,Clear
21,"Atlanta, United States of America",2018-10-22,Clear
22,"Atlanta, United States of America",2018-10-23,Clear
23,"Atlanta, United States of America",2018-10-24,Clear
24,"Atlanta, United States of America",2018-10-25,Overcast
25,"Atlanta, United States of America",2018-10-26,Overcast
26,"Atlanta, United States of America",2018-10-27,Overcast
27,"Atlanta, United States of America",2018-10-28,Clear
28,"Atlanta, United States of America",2018-10-29,Clear
29,"Atlanta, United States of America",2018-10-30,Clear
30,"Atlanta, United States of America",2018-10-31,Clear
0,"Atlanta, United States of America",2018-11-01,Clear
1,"Atlanta, United States of America",2018-11-02,Cloudy
2,"Atlanta, United States of America",2018-11-03,Clear
3,"Atlanta, United States of America",2018-11-04,Clear
4,"Atlanta, United States of America",2018-11-05,Overcast
5,"Atlanta, United States of America",2018-11-06,Overcast
6,"Atlanta, United States of America",2018-11-07,Clear
7,"Atlanta, United States of America",2018-11-08,Partly cloudy
8,"Atlanta, United States of America",2018-11-09,Overcast
9,"Atlanta, United States of America",2018-11-10,Clear
10,"Atlanta, United States of America",2018-11-11,Clear
11,"Atlanta, United States of America",2018-11-12,Partly cloudy
12,"Atlanta, United States of America",2018-11-13,Overcast
13,"Atlanta, United States of America",2018-11-14,Overcast
14,"Atlanta, United States of America",2018-11-15,Overcast
15,"Atlanta, United States of America",2018-11-16,Partly cloudy
16,"Atlanta, United States of America",2018-11-17,Partly cloudy
17,"Atlanta, United States of America",2018-11-18,Clear
18,"Atlanta, United States of America",2018-11-19,Clear
19,"Atlanta, United States of America",2018-11-20,Cloudy
20,"Atlanta, United States of America",2018-11-21,Clear
21,"Atlanta, United States of America",2018-11-22,Partly cloudy
22,"Atlanta, United States of America",2018-11-23,Clear
23,"Atlanta, United States of America",2018-11-24,Overcast
24,"Atlanta, United States of America",2018-11-25,Clear
25,"Atlanta, United States of America",2018-11-26,Overcast
26,"Atlanta, United States of America",2018-11-27,Clear
27,"Atlanta, United States of America",2018-11-28,Clear
28,"Atlanta, United States of America",2018-11-29,Clear
29,"Atlanta, United States of America",2018-11-30,Cloudy
0,"Atlanta, United States of America",2018-12-01,Clear
1,"Atlanta, United States of America",2018-12-02,Fog
2,"Atlanta, United States of America",2018-12-03,Clear
3,"Atlanta, United States of America",2018-12-04,Clear
4,"Atlanta, United States of America",2018-12-05,Clear
5,"Atlanta, United States of America",2018-12-06,Clear
6,"Atlanta, United States of America",2018-12-07,Partly cloudy
7,"Atlanta, United States of America",2018-12-08,Overcast
8,"Atlanta, United States of America",2018-12-09,Overcast
9,"Atlanta, United States of America",2018-12-10,Overcast
10,"Atlanta, United States of America",2018-12-11,Partly cloudy
11,"Atlanta, United States of America",2018-12-12,Partly cloudy
12,"Atlanta, United States of America",2018-12-13,Clear
13,"Atlanta, United States of America",2018-12-14,Overcast
14,"Atlanta, United States of America",2018-12-15,Mist
15,"Atlanta, United States of America",2018-12-16,Overcast
16,"Atlanta, United States of America",2018-12-17,Partly cloudy
17,"Atlanta, United States of America",2018-12-18,Clear
18,"Atlanta, United States of America",2018-12-19,Overcast
19,"Atlanta, United States of America",2018-12-20,Overcast
20,"Atlanta, United States of America",2018-12-21,Fog
21,"Atlanta, United States of America",2018-12-22,Overcast
22,"Atlanta, United States of America",2018-12-23,Clear
23,"Atlanta, United States of America",2018-12-24,Partly cloudy
24,"Atlanta, United States of America",2018-12-25,Clear
25,"Atlanta, United States of America",2018-12-26,Clear
26,"Atlanta, United States of America",2018-12-27,Partly cloudy
27,"Atlanta, United States of America",2018-12-28,Overcast
28,"Atlanta, United States of America",2018-12-29,Clear
29,"Atlanta, United States of America",2018-12-30,Overcast
30,"Atlanta, United States of America",2018-12-31,Mist
