,year,month,carrier,carrier_name,airport,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay,Airport,city
18152,2018,11,UA,United Air Lines Inc.,DEN,5329.0,16.0,46869.0,15425.0,1817.0, Denver International,"Denver, CO"
18153,2018,11,UA,United Air Lines Inc.,DFW,406.0,9.0,6743.0,998.0,389.0, Dallas/Fort Worth International,Dallas
18175,2018,11,UA,United Air Lines Inc.,LAX,2292.0,10.0,27010.0,7207.0,799.0, Los Angeles International,"Los Angeles, CA"
18195,2018,11,UA,United Air Lines Inc.,ORD,6775.0,164.0,123705.0,21941.0,24442.0, Chicago O'Hare International,"Chicago, IL"
18250,2018,11,WN,Southwest Airlines Co.,DEN,5802.0,23.0,42269.0,13309.0,1339.0, Denver International,"Denver, CO"
18268,2018,11,WN,Southwest Airlines Co.,LAX,3503.0,46.0,29401.0,9890.0,368.0, Los Angeles International,"Los Angeles, CA"
18316,2018,11,YV,Mesa Airlines Inc.,ATL,172.0,1.0,3385.0,974.0,715.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
18342,2018,11,YV,Mesa Airlines Inc.,DFW,3150.0,69.0,44707.0,14068.0,2454.0, Dallas/Fort Worth International,Dallas
18416,2018,11,YX,Republic Airline,ATL,480.0,11.0,4472.0,860.0,150.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
18438,2018,11,YX,Republic Airline,DEN,387.0,3.0,5012.0,859.0,241.0, Denver International,"Denver, CO"
18439,2018,11,YX,Republic Airline,DFW,253.0,2.0,4103.0,1228.0,248.0, Dallas/Fort Worth International,Dallas
17609,2018,11,HA,Hawaiian Airlines Inc.,LAX,180.0,2.0,968.0,660.0,0.0, Los Angeles International,"Los Angeles, CA"
18019,2018,11,OO,SkyWest Airlines Inc.,LAX,2542.0,6.0,32390.0,13126.0,805.0, Los Angeles International,"Los Angeles, CA"
17539,2018,11,G4,Allegiant Air,LAX,109.0,0.0,3099.0,1426.0,0.0, Los Angeles International,"Los Angeles, CA"
17088,2018,11,B6,JetBlue Airways,DFW,51.0,0.0,974.0,419.0,0.0, Dallas/Fort Worth International,Dallas
17453,2018,11,F9,Frontier Airlines Inc.,ORD,225.0,7.0,5680.0,1785.0,0.0, Chicago O'Hare International,"Chicago, IL"
16795,2018,11,9E,Endeavor Air Inc.,ATL,2541.0,7.0,48247.0,10446.0,2266.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
16825,2018,11,9E,Endeavor Air Inc.,DFW,182.0,1.0,1727.0,475.0,76.0, Dallas/Fort Worth International,Dallas
16870,2018,11,9E,Endeavor Air Inc.,ORD,117.0,6.0,1616.0,443.0,63.0, Chicago O'Hare International,"Chicago, IL"
16903,2018,11,AA,American Airlines Inc.,ATL,1001.0,5.0,12535.0,4909.0,345.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
16921,2018,11,AA,American Airlines Inc.,DEN,795.0,4.0,7666.0,2492.0,302.0, Denver International,"Denver, CO"
16922,2018,11,AA,American Airlines Inc.,DFW,11557.0,38.0,131864.0,48695.0,5253.0, Dallas/Fort Worth International,Dallas
