,city,date,weather
12,"Chicago, United States of America",2018-08-13,Clear
13,"Chicago, United States of America",2018-08-14,Clear
14,"Chicago, United States of America",2018-08-15,Partly cloudy
15,"Chicago, United States of America",2018-08-16,Cloudy
16,"Chicago, United States of America",2018-08-17,Partly cloudy
17,"Chicago, United States of America",2018-08-18,Clear
18,"Chicago, United States of America",2018-08-19,Clear
19,"Chicago, United States of America",2018-08-20,Clear
20,"Chicago, United States of America",2018-08-21,Partly cloudy
21,"Chicago, United States of America",2018-08-22,Clear
22,"Chicago, United States of America",2018-08-23,Clear
23,"Chicago, United States of America",2018-08-24,Partly cloudy
24,"Chicago, United States of America",2018-08-25,Thundery outbreaks possible
25,"Chicago, United States of America",2018-08-26,Clear
26,"Chicago, United States of America",2018-08-27,Cloudy
27,"Chicago, United States of America",2018-08-28,Clear
28,"Chicago, United States of America",2018-08-29,Overcast
29,"Chicago, United States of America",2018-08-30,Partly cloudy
30,"Chicago, United States of America",2018-08-31,Clear
0,"Chicago, United States of America",2018-09-01,Clear
1,"Chicago, United States of America",2018-09-02,Thundery outbreaks possible
2,"Chicago, United States of America",2018-09-03,Partly cloudy
3,"Chicago, United States of America",2018-09-04,Clear
4,"Chicago, United States of America",2018-09-05,Clear
5,"Chicago, United States of America",2018-09-06,Overcast
6,"Chicago, United States of America",2018-09-07,Partly cloudy
7,"Chicago, United States of America",2018-09-08,Overcast
8,"Chicago, United States of America",2018-09-09,Partly cloudy
9,"Chicago, United States of America",2018-09-10,Clear
10,"Chicago, United States of America",2018-09-11,Clear
11,"Chicago, United States of America",2018-09-12,Clear
12,"Chicago, United States of America",2018-09-13,Clear
13,"Chicago, United States of America",2018-09-14,Clear
14,"Chicago, United States of America",2018-09-15,Clear
15,"Chicago, United States of America",2018-09-16,Clear
16,"Chicago, United States of America",2018-09-17,Clear
17,"Chicago, United States of America",2018-09-18,Clear
18,"Chicago, United States of America",2018-09-19,Clear
19,"Chicago, United States of America",2018-09-20,Partly cloudy
20,"Chicago, United States of America",2018-09-21,Clear
21,"Chicago, United States of America",2018-09-22,Partly cloudy
22,"Chicago, United States of America",2018-09-23,Clear
23,"Chicago, United States of America",2018-09-24,Clear
24,"Chicago, United States of America",2018-09-25,Mist
25,"Chicago, United States of America",2018-09-26,Overcast
26,"Chicago, United States of America",2018-09-27,Clear
27,"Chicago, United States of America",2018-09-28,Overcast
28,"Chicago, United States of America",2018-09-29,Clear
29,"Chicago, United States of America",2018-09-30,Overcast
0,"Chicago, United States of America",2018-10-01,Overcast
1,"Chicago, United States of America",2018-10-02,Partly cloudy
2,"Chicago, United States of America",2018-10-03,Cloudy
3,"Chicago, United States of America",2018-10-04,Overcast
4,"Chicago, United States of America",2018-10-05,Partly cloudy
5,"Chicago, United States of America",2018-10-06,Fog
6,"Chicago, United States of America",2018-10-07,Partly cloudy
7,"Chicago, United States of America",2018-10-08,Overcast
8,"Chicago, United States of America",2018-10-09,Clear
9,"Chicago, United States of America",2018-10-10,Clear
10,"Chicago, United States of America",2018-10-11,Partly cloudy
11,"Chicago, United States of America",2018-10-12,Clear
12,"Chicago, United States of America",2018-10-13,Clear
13,"Chicago, United States of America",2018-10-14,Clear
14,"Chicago, United States of America",2018-10-15,Overcast
15,"Chicago, United States of America",2018-10-16,Clear
16,"Chicago, United States of America",2018-10-17,Clear
17,"Chicago, United States of America",2018-10-18,Clear
18,"Chicago, United States of America",2018-10-19,Clear
19,"Chicago, United States of America",2018-10-20,Clear
20,"Chicago, United States of America",2018-10-21,Clear
21,"Chicago, United States of America",2018-10-22,Clear
22,"Chicago, United States of America",2018-10-23,Clear
23,"Chicago, United States of America",2018-10-24,Clear
24,"Chicago, United States of America",2018-10-25,Clear
25,"Chicago, United States of America",2018-10-26,Overcast
26,"Chicago, United States of America",2018-10-27,Overcast
27,"Chicago, United States of America",2018-10-28,Cloudy
28,"Chicago, United States of America",2018-10-29,Clear
29,"Chicago, United States of America",2018-10-30,Partly cloudy
30,"Chicago, United States of America",2018-10-31,Overcast
0,"Chicago, United States of America",2018-11-01,Partly cloudy
1,"Chicago, United States of America",2018-11-02,Overcast
2,"Chicago, United States of America",2018-11-03,Clear
3,"Chicago, United States of America",2018-11-04,Overcast
4,"Chicago, United States of America",2018-11-05,Overcast
5,"Chicago, United States of America",2018-11-06,Mist
6,"Chicago, United States of America",2018-11-07,Partly cloudy
7,"Chicago, United States of America",2018-11-08,Partly cloudy
8,"Chicago, United States of America",2018-11-09,Overcast
9,"Chicago, United States of America",2018-11-10,Cloudy
10,"Chicago, United States of America",2018-11-11,Overcast
11,"Chicago, United States of America",2018-11-12,Overcast
12,"Chicago, United States of America",2018-11-13,Clear
13,"Chicago, United States of America",2018-11-14,Clear
14,"Chicago, United States of America",2018-11-15,Partly cloudy
15,"Chicago, United States of America",2018-11-16,Partly cloudy
16,"Chicago, United States of America",2018-11-17,Overcast
17,"Chicago, United States of America",2018-11-18,Overcast
18,"Chicago, United States of America",2018-11-19,Clear
19,"Chicago, United States of America",2018-11-20,Overcast
20,"Chicago, United States of America",2018-11-21,Partly cloudy
21,"Chicago, United States of America",2018-11-22,Partly cloudy
22,"Chicago, United States of America",2018-11-23,Clear
23,"Chicago, United States of America",2018-11-24,Overcast
24,"Chicago, United States of America",2018-11-25,Partly cloudy
25,"Chicago, United States of America",2018-11-26,Overcast
26,"Chicago, United States of America",2018-11-27,Overcast
27,"Chicago, United States of America",2018-11-28,Cloudy
28,"Chicago, United States of America",2018-11-29,Cloudy
29,"Chicago, United States of America",2018-11-30,Overcast
0,"Chicago, United States of America",2018-12-01,Overcast
1,"Chicago, United States of America",2018-12-02,Fog
2,"Chicago, United States of America",2018-12-03,Overcast
3,"Chicago, United States of America",2018-12-04,Overcast
4,"Chicago, United States of America",2018-12-05,Overcast
5,"Chicago, United States of America",2018-12-06,Partly cloudy
6,"Chicago, United States of America",2018-12-07,Clear
7,"Chicago, United States of America",2018-12-08,Partly cloudy
8,"Chicago, United States of America",2018-12-09,Clear
9,"Chicago, United States of America",2018-12-10,Clear
10,"Chicago, United States of America",2018-12-11,Clear
11,"Chicago, United States of America",2018-12-12,Partly cloudy
12,"Chicago, United States of America",2018-12-13,Clear
